kq,sl,mean_reward
916.3088851950437,980,0.9350090665255548
926.254319499378,998,0.9281105405805391
956.4612549425894,1094,0.8742790264557491
886.2161587717667,907,0.9770850703106578
817.8471900744559,848,0.9644424411255376
935.5755199881212,987,0.9478981965431825
891.2111059523737,917,0.9718768876252712
799.059869681189,816,0.979240036374006
790.4422816643008,814,0.9710593140839077
875.1727162280931,900,0.9724141291423257
819.9854000942622,840,0.9761730953503122
840.4987005018367,848,0.991154127950279
861.0220600169548,877,0.9817811402701879
924.8707459599018,1019,0.9076258547202176
874.317751263391,1093,0.799924749554795
923.8516671373595,1010,0.9147046209280787
944.9600488292814,960,0.9843333841971681
922.6593273734793,977,0.944380068959549
821.6988155735793,837,0.9817190150221975
851.6845828651963,890,0.9569489695114565
981.3822311678497,988,0.9933018534087548
949.6201501654734,1039,0.9139751204672507
928.588956572996,991,0.9370221559767872
930.9116995489765,960,0.9696996870301838
798.1244404140908,825,0.9674235641382919
903.2884906552696,1059,0.8529636361239562
780.9935359327048,812,0.9618146994245134
814.1467605361474,904,0.9006048236019331
926.2566324727163,1044,0.8872189966213758
918.4691271856104,958,0.9587360409035599
882.5093135466026,914,0.9655462949087555
804.40481684376,810,0.9930923664737779
927.1382828119297,997,0.9299280670129686
847.8304732298259,866,0.9790190222053416
961.4705910183645,1087,0.884517563034374
933.6374123255122,1046,0.8925787880741034
938.8545831085698,1095,0.857401445761251
808.0767307431809,849,0.951798269426597
975.2388639533568,1075,0.907198943212425
896.6507319787792,925,0.9693521426797612
954.1760075948823,1005,0.9494288632784899
818.5403673120657,848,0.9652598671132849
872.4753911426651,892,0.9781114250478309
791.3414743968848,804,0.9842555651702547
908.9365918035556,955,0.9517660647157651
945.8039239476252,1065,0.8880788018287561
867.6708918644814,956,0.9076055354230977
797.0303146180246,806,0.9888713580868791
988.8076598558681,1038,0.9526085355066167
848.0034534932064,868,0.9769625040244313
863.0761738881388,929,0.9290378620970278
923.9189343135674,1003,0.9211554679098379
837.5166241016473,841,0.9958580548176543
847.5452911802881,856,0.9901230037152898
822.4604664166476,874,0.9410302819412444
829.8655366824388,834,0.9950426099309818
956.876644493029,1075,0.8901178088307246
807.14793751909,811,0.9952502312195931
981.1693694771571,1082,0.906810877520478
821.4283104452065,828,0.9920631768661915
879.4540030144536,914,0.9622035043921812
932.4718537961851,1088,0.857051336209729
916.6272515502785,965,0.9498727995339674
825.9105821210815,878,0.9406726447848308
835.3553986213478,872,0.9579763745657659
769.9573628612021,812,0.9482233532773425
853.7388320049465,904,0.9444013628373302
911.1061916374135,920,0.9903328169971887
947.1439724390879,1037,0.9133500216384647
817.3994303583988,820,0.9968285736078034
865.8868156458483,886,0.9772988889907994
808.8865886028047,842,0.9606729080793406
841.2777619115549,886,0.9495234333087527
896.5414245156371,1012,0.8859104985332382
847.1014021824375,1047,0.8090748826957378
863.0016169791123,951,0.9074675257403915
864.5534862982258,912,0.9479753139234932
797.8129151160965,806,0.9898423264467698
1013.418740169631,1074,0.9435928679419283
935.3816240876922,987,0.9477017467960408
802.6532714408651,825,0.9729130562919577
883.8793601747471,905,0.9766622764361846
893.1397011948965,920,0.9708040230379309
897.2712522920361,1004,0.8936964664263308
873.5313423064557,965,0.9052138262243065
865.786560126085,938,0.9230133903263166
780.6380386265861,819,0.95315999832306
903.8276620784632,971,0.9308214851477479
881.1736764472915,974,0.9046957663729892
832.98426400609,882,0.944426603181508
807.2936225925663,812,0.994203968710057
843.2729593834696,869,0.9703946598198729
869.8240877280526,935,0.9302931419551365
896.4656411063932,922,0.972305467577433
949.2756753453439,1092,0.8693000689975676
972.6235365107188,1067,0.9115497061956128
945.3732462813017,982,0.9627018801235252
885.9577100450085,915,0.9682597923989165
811.1544670354065,817,0.9928451248903384
830.4999873480119,837,0.9922341545376486
