total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
589.4222960533822,0.6317495134548576,0.021928, 1.563783, 2.186267,933,70139
554.1213492562815,0.555788715402489,0.021501, 1.572084, 2.202425,997,71136
577.7631287847923,0.5835991199846388,0.021963, 1.551887, 2.175629,990,72126
612.28331559471,0.6431547432717541,0.020466, 1.550448, 2.176942,952,73078
575.0136643108303,0.6176301442651239,0.019497, 1.558880, 2.195062,931,74009
581.7875185090584,0.624235534880964,0.019794, 1.560841, 2.196942,932,74941
624.5598563104465,0.6505831836567152,0.018912, 1.552739, 2.183892,960,75901
590.2525222464801,0.6374217302877755,0.019510, 1.536354, 2.166471,926,76827
614.3460144409343,0.6366279942393102,0.019753, 1.520906, 2.150717,965,77792
600.5713185714786,0.624294509949562,0.020408, 1.531224, 2.154479,962,78754
570.698530241502,0.6116811685332283,0.019588, 1.533565, 2.152199,933,79687
532.0492320666743,0.5347228462981651,0.019758, 1.517422, 2.124646,995,80682
535.0177877648052,0.5722115377163692,0.021441, 1.525582, 2.130095,935,81617
492.71601637524884,0.5326659636489177,0.020559, 1.509509, 2.119508,925,82542
561.6747651763104,0.5644972514334778,0.020059, 1.470647, 2.074284,995,83537
584.3243640088583,0.595034993899041,0.020667, 1.443642, 2.048664,982,84519
538.9828002941808,0.596219911829846,0.020494, 1.435538, 2.046383,904,85423
659.0928607204439,0.6794771760004576,0.020206, 1.429291, 2.044811,970,86393
626.8254422973401,0.6732818929079916,0.019888, 1.433134, 2.055252,931,87324
628.2268946312605,0.6964821448240138,0.019943, 1.440173, 2.066200,902,88226
691.6538133970857,0.7265271149129052,0.019604, 1.464408, 2.103105,952,89178
620.78554375157,0.6308796176337094,0.019200, 1.472768, 2.125219,984,90162
628.2838876542173,0.6463826004673018,0.019742, 1.496977, 2.156690,972,91134
644.0815366946902,0.6558875119090531,0.021562, 1.550606, 2.216292,982,92116
677.6914035643583,0.6859224732432777,0.020265, 1.641050, 2.315139,988,93104
637.2162175697256,0.65221721347976,0.018529, 1.650068, 2.325034,977,94081
641.0482846315406,0.7083406460017023,0.018777, 1.700994, 2.385564,905,94986
