total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
371.81277423414724,0.39014981556573686,5.384115, 36.459655, 56.652815,953,953
488.87228654046936,0.5151446644262059,0.559649, 24.201828, 33.545475,949,1902
478.400261839935,0.5067799383897617,0.211729, 13.014523, 17.968464,944,2846
544.8944251450143,0.5537544970985918,0.075731, 7.330364, 10.112977,984,3830
676.9639434234529,0.7414720081308356,0.046671, 4.778422, 6.692034,913,4743
689.2529631008466,0.7582540848194133,0.046005, 3.545901, 5.057461,909,5652
626.5387051091758,0.6700948717745195,0.030934, 2.955872, 4.241673,935,6587
534.7338581231918,0.5439815443776111,0.025598, 2.575128, 3.722928,983,7570
561.5427430738363,0.6143793687897552,0.027909, 2.232077, 3.258960,914,8484
631.1363247618008,0.6721366610881797,0.034926, 2.113147, 3.056221,939,9423
673.7846497467725,0.7040591951376933,0.025035, 1.959134, 2.830143,957,10380
553.2216733006062,0.5929492747059016,0.018238, 1.759043, 2.530888,933,11313
610.2439500103685,0.663308641315618,0.019871, 1.691124, 2.391470,920,12233
630.9883781005208,0.6784821269898073,0.020933, 1.675818, 2.353212,930,13163
600.8595524245325,0.6676217249161471,0.021973, 1.671081, 2.341089,900,14063
517.17637612584,0.5398500794632985,0.023578, 1.655990, 2.314409,958,15021
610.1192897796542,0.6463128069699726,0.022514, 1.622155, 2.269653,944,15965
662.1213460861943,0.7276058748199937,0.023795, 1.595447, 2.234357,910,16875
590.7903372004932,0.6179815242682983,0.024461, 1.597871, 2.234396,956,17831
674.2988853367567,0.7097883003544807,0.025398, 1.611008, 2.253237,950,18781
637.0165490282841,0.6857013444868505,0.025269, 1.619025, 2.263096,929,19710
590.3473974045697,0.6005568640941706,0.023311, 1.617720, 2.268501,983,20693
608.4561211634474,0.6121288945306311,0.022445, 1.623593, 2.273137,994,21687
613.0846526186778,0.6774416051035114,0.021956, 1.620965, 2.272346,905,22592
545.1517911334197,0.5830500439929622,0.021053, 1.630612, 2.283928,935,23527
575.239188297609,0.6036088019911952,0.021315, 1.637878, 2.298052,953,24480
491.00234118446457,0.538970736755724,0.020840, 1.644910, 2.304383,911,25391
504.68894487495584,0.5369031328456977,0.021874, 1.640690, 2.294727,940,26331
495.8774878878107,0.5070321962043054,0.021833, 1.599845, 2.243047,978,27309
576.5462782694223,0.6146548808842455,0.021196, 1.601671, 2.243924,938,28247
639.4096831678805,0.6585063678350984,0.021179, 1.573264, 2.204503,971,29218
570.5830092871781,0.6155156518739786,0.020427, 1.575800, 2.211324,927,30145
630.3678640097681,0.6303678640097682,0.021071, 1.556625, 2.185205,1000,31145
647.4310490929485,0.6744073428051547,0.020756, 1.558179, 2.184722,960,32105
581.4890441598071,0.5988558642222525,0.021893, 1.546525, 2.165330,971,33076
621.856312776187,0.6781421077166707,0.022026, 1.529713, 2.143874,917,33993
543.7022410567529,0.5508634661162644,0.022262, 1.528602, 2.133189,987,34980
603.1903509105464,0.6389728293543924,0.021677, 1.537769, 2.142057,944,35924
654.6675917947884,0.6639630748425847,0.020665, 1.558533, 2.166449,986,36910
677.933653990344,0.741721722090092,0.021027, 1.579037, 2.192457,914,37824
663.279887798118,0.7201736023866645,0.020380, 1.588085, 2.214906,921,38745
675.8860523289799,0.6813367462993749,0.020494, 1.595875, 2.232891,992,39737
668.2334440122906,0.697529691035794,0.022039, 1.601626, 2.245330,958,40695
673.4186853804177,0.7432877322079666,0.021442, 1.623717, 2.275364,906,41601
621.9956835107923,0.6432220098353592,0.021761, 1.630443, 2.284909,967,42568
658.2928055671971,0.6871532417194124,0.021007, 1.638559, 2.297611,958,43526
606.4311368115586,0.6169187556577402,0.021088, 1.635729, 2.287901,983,44509
648.4065542388876,0.6927420451270166,0.020395, 1.649948, 2.311163,936,45445
568.6575880876843,0.599849776463802,0.020756, 1.667407, 2.331664,948,46393
567.1016957217425,0.5699514529866759,0.020288, 1.657101, 2.318140,995,47388
614.3787510303426,0.6542904696808761,0.019301, 1.641698, 2.292280,939,48327
606.7151408603606,0.6386475166951164,0.019147, 1.624152, 2.266519,950,49277
499.0481467723821,0.5514344163230741,0.019216, 1.625833, 2.269881,905,50182
666.2495222750597,0.6729793154293532,0.017653, 1.599556, 2.236892,990,51172
679.6412744621239,0.7355425048291384,0.018076, 1.589339, 2.230391,924,52096
610.7110913553328,0.6740740522685792,0.017867, 1.603631, 2.251286,906,53002
530.9964265149305,0.5721944251238475,0.017030, 1.601754, 2.251351,928,53930
700.6599632794566,0.7430116259591268,0.017185, 1.611807, 2.263860,943,54873
565.4846958724721,0.6093585084832673,0.017855, 1.611232, 2.254256,928,55801
424.6443937311729,0.4324280995225793,0.018206, 1.607873, 2.245396,982,56783
571.5890507887383,0.5791175793198969,0.018938, 1.615058, 2.255182,987,57770
641.7897636317049,0.6908393580535036,0.018087, 1.623542, 2.272561,929,58699
590.7801402244885,0.6128424691125399,0.017253, 1.632563, 2.278691,964,59663
477.13830965007276,0.5226049393757642,0.019427, 1.587916, 2.224092,913,60576
663.2381164061223,0.7010973746364929,0.019488, 1.591836, 2.225262,946,61522
586.2371105236323,0.594560964019911,0.019548, 1.573545, 2.192145,986,62508
581.7682116567663,0.6034939954945708,0.020703, 1.564999, 2.180454,964,63472
616.3787023775957,0.6315355557147497,0.020470, 1.563910, 2.176439,976,64448
639.1610094420962,0.6792359292689651,0.020324, 1.542737, 2.149436,941,65389
663.0219656841701,0.732620956557094,0.021634, 1.544207, 2.151934,905,66294
626.4525823890882,0.649847077167104,0.021500, 1.585192, 2.208375,964,67258
601.67217112033,0.6089799302837348,0.021632, 1.578915, 2.194074,988,68246
618.8009904843739,0.6445843650878894,0.022509, 1.559858, 2.168846,960,69206
